City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
155,Boditi,ET,6.9667,37.8667,64.58,57,94,1.01,overcast clouds,2022-02-26 05:00:54
156,Suileng,CN,47.25,127.0833,26.44,74,99,10.98,overcast clouds,2022-02-26 05:00:54
157,Vanimo,PG,-2.6741,141.3028,80.8,82,100,9.51,overcast clouds,2022-02-26 05:00:54
158,Kayerkan,RU,69.3497,87.7602,8.53,92,100,7.38,light snow,2022-02-26 05:00:55
159,Indi,IN,17.1667,75.9667,85.64,17,11,11.72,few clouds,2022-02-26 05:00:55
160,Codrington,AU,-38.2667,141.9667,75.4,57,92,17.27,overcast clouds,2022-02-26 05:00:56
161,Bay Roberts,CA,47.5999,-53.2648,23.32,63,100,1.01,overcast clouds,2022-02-26 05:00:56
162,Puerto Ayora,EC,-0.7393,-90.3518,74.88,88,84,4.18,broken clouds,2022-02-26 05:00:57
163,Tessalit,ML,20.1986,1.0114,70.34,13,7,10.25,clear sky,2022-02-26 05:00:57
164,Tecolutla,MX,20.4833,-97.0167,62.83,93,100,10.87,overcast clouds,2022-02-26 05:00:57
165,Valdivia,CL,-39.8142,-73.2459,60.89,96,66,7.27,broken clouds,2022-02-26 04:57:17
166,Mount Isa,AU,-20.7333,139.5,98.37,20,75,5.75,broken clouds,2022-02-26 05:00:58
167,Lompoc,US,34.6391,-120.4579,50.41,81,0,8.99,clear sky,2022-02-26 04:57:25
168,Yellowknife,CA,62.456,-114.3525,-10.44,77,20,6.91,few clouds,2022-02-26 04:58:25
169,Celestun,MX,20.8667,-90.4,75.24,78,37,8.7,scattered clouds,2022-02-26 05:00:59
170,Laguna,US,38.421,-121.4238,50.5,57,0,4.61,clear sky,2022-02-26 05:00:59
171,Torbay,CA,47.6666,-52.7314,22.57,72,100,4.59,overcast clouds,2022-02-26 05:01:00
172,Kangema,KE,-0.6833,36.9667,60.94,76,9,2.01,clear sky,2022-02-26 05:01:00
173,Luwuk,ID,-0.9516,122.7875,89.15,56,91,3.65,overcast clouds,2022-02-26 05:01:01
174,Chacabuco,AR,-34.6417,-60.4739,70.81,41,0,8.37,clear sky,2022-02-26 04:57:33
175,Oksfjord,NO,70.2396,22.3479,23.92,92,72,12.1,light snow,2022-02-26 05:01:02
176,Magdalena,PH,14.1999,121.429,85.42,73,100,11.81,overcast clouds,2022-02-26 05:01:02
177,Westport,US,41.1415,-73.3579,28.2,63,20,8.99,few clouds,2022-02-26 05:01:02
178,Katobu,ID,-4.9408,122.5276,87.24,56,88,8.19,overcast clouds,2022-02-26 05:01:03
179,Port Alfred,ZA,-33.5906,26.891,72.03,79,42,15.08,scattered clouds,2022-02-26 05:01:05
180,Nemuro,JP,43.3236,145.575,32.99,77,16,15.79,few clouds,2022-02-26 05:01:05
181,Sakakah,SA,29.9697,40.2064,45.97,60,0,5.21,clear sky,2022-02-26 04:57:48
182,Pisco,PE,-13.7,-76.2167,68.02,90,98,1.59,overcast clouds,2022-02-26 05:01:06
183,Saldanha,ZA,-33.0117,17.9442,64.33,94,3,9.64,clear sky,2022-02-26 05:01:07
184,Rosetown,CA,51.5501,-108.0014,12.97,80,11,11.61,few clouds,2022-02-26 05:01:07
185,Trofors,NO,65.5333,13.4063,31.35,93,99,8.43,overcast clouds,2022-02-26 05:01:07
186,Santo Tomas,PH,14.1079,121.1414,87.58,61,99,12.39,overcast clouds,2022-02-26 05:01:07
187,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,28.77,snow,2022-02-26 05:01:08
188,Manado,ID,1.487,124.8455,83.17,36,40,13.8,scattered clouds,2022-02-26 05:01:08
189,Bosaso,SO,11.2842,49.1816,78.03,68,16,3.02,few clouds,2022-02-26 05:01:09
190,Komsomolskiy,UZ,40.4272,71.7189,48.92,57,100,2.3,haze,2022-02-26 05:01:09
191,Kloulklubed,PW,7.0419,134.2556,82.9,77,68,20.96,broken clouds,2022-02-26 05:01:09
192,Healdsburg,US,38.6105,-122.8692,47.16,68,0,0.0,clear sky,2022-02-26 05:01:10
193,Wyszkow,PL,52.5928,21.4584,37.17,83,32,4.56,scattered clouds,2022-02-26 05:01:10
194,Baherden,TM,38.4362,57.4316,58.01,38,58,13.24,broken clouds,2022-02-26 05:01:10
195,Sol-Iletsk,RU,51.1631,54.9918,29.98,93,99,12.28,overcast clouds,2022-02-26 05:01:11
196,Bell Ville,AR,-32.6259,-62.6887,74.8,78,32,7.02,scattered clouds,2022-02-26 05:01:11
197,Khandyga,RU,62.6667,135.6,-3.39,88,100,1.95,overcast clouds,2022-02-26 05:01:11
198,Geraldton,AU,-28.7667,114.6,81.01,61,13,18.41,few clouds,2022-02-26 05:01:12
199,Queanbeyan,AU,-35.35,149.2333,73.31,61,75,10.36,broken clouds,2022-02-26 05:01:12
200,Port-Gentil,GA,-0.7193,8.7815,81.16,81,100,8.52,overcast clouds,2022-02-26 05:01:12
201,Beysehir,TR,37.6773,31.7246,33.3,88,37,5.17,scattered clouds,2022-02-26 05:01:13
202,Marystown,CA,47.1666,-55.1483,19.74,88,100,10.98,snow,2022-02-26 05:01:13
203,Salinas,US,36.6777,-121.6555,50.83,80,0,4.05,clear sky,2022-02-26 04:58:40
204,Evensk,RU,61.95,159.2333,19.81,95,100,4.59,snow,2022-02-26 04:57:24
205,Broome,US,42.2506,-75.833,18.37,99,70,1.19,broken clouds,2022-02-26 05:01:14
206,Palmares Do Sul,BR,-30.2578,-50.5097,73.29,94,27,4.29,scattered clouds,2022-02-26 05:01:14
207,Manhumirim,BR,-20.3578,-41.9581,65.28,97,5,1.1,clear sky,2022-02-26 05:00:58
208,Severnyy,RU,50.677,36.5532,30.24,93,100,6.71,mist,2022-02-26 05:01:15
209,Provideniya,RU,64.3833,-173.3,27.86,95,100,17.74,snow,2022-02-26 05:01:15
210,Tabou,CI,4.423,-7.3528,77.23,92,11,7.02,few clouds,2022-02-26 05:01:16
211,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,100,13.06,overcast clouds,2022-02-26 05:01:16
212,Esperance,AU,-33.8667,121.9,80.47,54,60,8.95,broken clouds,2022-02-26 05:01:16
213,Northview,US,43.0456,-85.6006,23.85,76,100,4.61,overcast clouds,2022-02-26 05:01:17
214,Fort Nelson,CA,58.8053,-122.7002,17.01,97,87,2.71,overcast clouds,2022-02-26 05:01:17
215,Namibe,AO,-15.1961,12.1522,76.41,81,91,6.02,overcast clouds,2022-02-26 05:01:17
216,Bargteheide,DE,53.7333,10.2667,36.82,93,0,6.49,clear sky,2022-02-26 05:01:18
217,Ketchikan,US,55.3422,-131.6461,36.05,97,100,5.44,light rain,2022-02-26 05:01:18
218,Niksic,ME,42.7731,18.9445,40.87,86,13,5.12,few clouds,2022-02-26 05:01:18
219,Saint-Pierre,RE,-21.3393,55.4781,83.88,61,0,2.3,clear sky,2022-02-26 05:01:19
220,Calvinia,ZA,-31.4707,19.776,69.42,65,0,5.23,clear sky,2022-02-26 05:01:19
221,Batouri,CM,4.4333,14.3667,65.21,27,10,1.34,clear sky,2022-02-26 05:01:19
222,Bogorodskoye,RU,56.55,37.8833,30.25,95,100,7.02,overcast clouds,2022-02-26 05:01:20
223,Chardara,KZ,41.2547,67.9692,52.66,45,8,2.51,clear sky,2022-02-26 05:01:20
224,Baie-Comeau,CA,49.2168,-68.1489,-2.2,84,0,5.75,clear sky,2022-02-26 04:56:20
225,Victoria,HK,22.2855,114.1577,71.94,71,28,5.99,scattered clouds,2022-02-26 04:59:52
226,Lorengau,PG,-2.0226,147.2712,80.78,81,100,9.82,overcast clouds,2022-02-26 05:01:21
227,Tehachapi,US,35.1322,-118.449,40.86,61,0,4.0,clear sky,2022-02-26 05:01:21
228,Kamenka,RU,51.3223,42.7678,29.75,98,100,8.37,overcast clouds,2022-02-26 05:01:21
229,Matagami,CA,49.7502,-77.6328,4.64,92,79,8.77,broken clouds,2022-02-26 05:01:21
230,Northam,GB,51.0333,-4.2167,44.1,91,89,10.16,overcast clouds,2022-02-26 05:01:22
231,Terrasini,IT,38.146,13.0844,54.97,74,20,13.8,few clouds,2022-02-26 05:01:22
232,Ipixuna,BR,-1.7625,-48.8043,75.15,98,100,3.18,light rain,2022-02-26 05:01:22
233,Bushehr,IR,28.9684,50.8385,68.4,60,49,5.14,scattered clouds,2022-02-26 05:01:23
234,Santa Maria,BR,-29.6842,-53.8069,73.51,78,0,3.56,clear sky,2022-02-26 05:01:23
235,Tibiri,NE,13.5627,7.0485,59.4,19,0,10.45,clear sky,2022-02-26 05:01:24
236,Ginda,IN,30.6945,78.4932,50.18,49,100,6.64,overcast clouds,2022-02-26 05:01:24
237,San Quintin,MX,30.4833,-115.95,54.61,63,18,8.08,few clouds,2022-02-26 05:01:24
238,Samarai,PG,-10.6167,150.6667,80.35,82,100,19.24,moderate rain,2022-02-26 05:01:25
239,Tazmalt,DZ,36.3868,4.3989,46.87,94,47,5.06,scattered clouds,2022-02-26 05:01:25
240,Gari,RU,59.4307,62.3497,23.27,85,29,10.76,scattered clouds,2022-02-26 05:01:26
241,Tiarei,PF,-17.5333,-149.3333,84.22,73,39,15.88,scattered clouds,2022-02-26 05:01:26
242,Ribeira Grande,PT,38.5167,-28.7,61.16,89,94,18.48,overcast clouds,2022-02-26 05:01:26
243,Yantal,RU,56.8471,105.2542,24.84,89,100,9.91,light snow,2022-02-26 05:01:27
244,Manica,FR,49.0,-1.1667,31.41,91,4,4.65,clear sky,2022-02-26 05:01:27
245,Goya,AR,-29.14,-59.2626,74.77,89,2,7.31,clear sky,2022-02-26 05:01:27
246,Guerrero Negro,MX,27.9769,-114.0611,58.64,55,68,12.39,broken clouds,2022-02-26 05:01:27
247,Pangnirtung,CA,66.1451,-65.7125,-23.35,98,100,2.35,overcast clouds,2022-02-26 05:01:28
248,Banda Aceh,ID,5.5577,95.3222,84.11,69,92,15.75,overcast clouds,2022-02-26 05:01:28
249,Gidam,IN,18.9833,81.4,88.57,22,0,4.54,clear sky,2022-02-26 05:01:28
250,Tubuala,PA,9.5167,-79.0333,76.55,80,80,15.86,broken clouds,2022-02-26 05:01:29
251,Marzuq,YE,14.4,46.4667,74.66,15,69,3.8,broken clouds,2022-02-26 05:01:29
252,Gigmoto,PH,13.7796,124.39,82.11,70,100,14.76,overcast clouds,2022-02-26 05:01:29
253,Ancud,CL,-41.8697,-73.8203,58.23,88,59,15.9,light rain,2022-02-26 05:01:30
254,Trairi,BR,-3.2778,-39.2689,77.61,80,95,6.8,overcast clouds,2022-02-26 05:01:30
255,Corning,US,42.1428,-77.0547,18.48,98,71,3.53,broken clouds,2022-02-26 05:01:30
256,Lalmohan,BD,22.3384,90.7419,79.41,48,2,3.87,clear sky,2022-02-26 05:01:31
257,Narino,CO,5.6089,-75.1766,65.41,98,79,1.36,light rain,2022-02-26 05:01:31
258,Sola,VU,-13.8833,167.55,82.9,74,100,11.23,moderate rain,2022-02-26 05:01:31
259,Podosinovets,RU,60.2776,47.0659,25.47,90,100,12.1,overcast clouds,2022-02-26 05:01:32
260,Port Blair,IN,11.6667,92.75,86.04,70,40,11.5,scattered clouds,2022-02-26 05:01:32
261,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.29,65,18,5.97,few clouds,2022-02-26 05:01:32
